"COMPANY"	"Company name"
"TICKER"	"Ticker"
"EXCHG_DESC"	"Exchange"
"SMG_DESC"	"Sector"
"IMG_DESC"	"Industry"
"BETA"	"Beta"
"FLOAT"	"Float"
"SHRINSD"	"Insider Ownership %"
"INSDPT"	"Insiders--buy trades"
"INSDNS"	"Insiders--net shares purchased"
"INSDST"	"Insiders--sell trades"
"INSDPS"	"Insiders--shares purchased"
"INSDSS"	"Insiders--shares sold"
"SHRINST"	"Institutional Ownership %"
"SHRINSTN"	"Institutional shareholders"
"INSTPS"	"Institutions--shares purchased"
"INSTSS"	"Institutions--shares sold"
"MKTCAP"	"Market Cap Q1"
"INS_PR_SHR"	"Net insider buys % shares out."
"PRICE"	"Price"
"PRP_2YH"	"Price as % of 2 Year High"
"PR_PRH_52W"	"Price as % of 52 Week High"
"PRCHG_04W"	"Price Change  4 week"
"PRCHG_13W"	"Price Change 13 week"
"PRCHG_26W"	"Price Change 26 week"
"PRCHG_GM3Y"	"Price Change 3yr Annual"
"PRCHG_AM3Y"	"Price Change 3yr Mean"
"PRCHG_SD3Y"	"Price Change 3yr Std. Dev."
"PRCHG_52W"	"Price Change 52 week"
"PRICE_DATE"	"Price Date"
"PRICEH_52W"	"Price--high 52 week"
"PRICEL_52W"	"Price--low 52 week"
"RPS_6M"	"Relative price strength 6m"
"RS_04W"	"Relative Strength  4 week"
"RS_13W"	"Relative Strength 13 week"
"RS_26W"	"Relative Strength 26 week"
"RS_52W"	"Relative Strength 52 week"
"RSW_4Q"	"Relative Strength-Weighted 4Qs"
"SHR_AQ1"	"Shares Average Q1"
"SHR_AQ2"	"Shares Average Q2"
"SHR_AQ3"	"Shares Average Q3"
"SHR_AQ4"	"Shares Average Q4"
"SHR_AQ5"	"Shares Average Q5"
"SHR_AQ6"	"Shares Average Q6"
"SHR_AQ7"	"Shares Average Q7"
"SHR_AQ8"	"Shares Average Q8"
"SHR_AY1"	"Shares Average Y1"
"SHR_AY2"	"Shares Average Y2"
"SHR_AY3"	"Shares Average Y3"
"SHR_AY4"	"Shares Average Y4"
"SHR_AY5"	"Shares Average Y5"
"SHR_AY6"	"Shares Average Y6"
"SHR_AY7"	"Shares Average Y7"
"SHSPERADR"	"Shares per ADR"
"SPLIT_DATE"	"Split Date"
"SPLIT_FACT"	"Split Factor"
"AVD_10D"	"Volume--Average Daily 10d"
"AVM_03M"	"Volume--Average Monthly 3m"
"DD_A3M"	"Volume--Dollar Daily Avg 3m"
