"TICKER"	"Ticker"
"CE_Q1"	"Capital expenditures Q1"
"CE_Q2"	"Capital expenditures Q2"
"CE_Q3"	"Capital expenditures Q3"
"CE_Q4"	"Capital expenditures Q4"
"CE_Q5"	"Capital expenditures Q5"
"CE_Q6"	"Capital expenditures Q6"
"CE_Q7"	"Capital expenditures Q7"
"CE_Q8"	"Capital expenditures Q8"
"TCF_Q1"	"Cash from financing Q1"
"TCF_Q2"	"Cash from financing Q2"
"TCF_Q3"	"Cash from financing Q3"
"TCF_Q4"	"Cash from financing Q4"
"TCF_Q5"	"Cash from financing Q5"
"TCF_Q6"	"Cash from financing Q6"
"TCF_Q7"	"Cash from financing Q7"
"TCF_Q8"	"Cash from financing Q8"
"TCI_Q1"	"Cash from investing Q1"
"TCI_Q2"	"Cash from investing Q2"
"TCI_Q3"	"Cash from investing Q3"
"TCI_Q4"	"Cash from investing Q4"
"TCI_Q5"	"Cash from investing Q5"
"TCI_Q6"	"Cash from investing Q6"
"TCI_Q7"	"Cash from investing Q7"
"TCI_Q8"	"Cash from investing Q8"
"TCO_Q1"	"Cash from operations Q1"
"TCO_Q2"	"Cash from operations Q2"
"TCO_Q3"	"Cash from operations Q3"
"TCO_Q4"	"Cash from operations Q4"
"TCO_Q5"	"Cash from operations Q5"
"TCO_Q6"	"Cash from operations Q6"
"TCO_Q7"	"Cash from operations Q7"
"TCO_Q8"	"Cash from operations Q8"
